Year,Month,Opening (GBP),Interest charged (GBP),Capital paid (GBP),Product fee (GBP),Closing (GBP),UK Tax Year,Swedish Tax Year,Source
2023,Jan,207951.3,258.21,1282.17,0,206669.13,22/23,2023,2023 PDF
2023,Feb,206669.13,256.64,1283.74,0,205385.39,22/23,2023,2023 PDF
2023,Mar,205385.39,255.02,1285.36,0,204100.03,22/23,2023,2023 PDF
2023,Apr,204100.03,253.42,1286.96,0,202813.07,22/23,2023,2023 PDF
2023,May,202813.07,251.85,688.5,0,202124.57,23/24,2023,2023 PDF
2023,Jun,202124.57,250.97,689.38,0,201435.19,23/24,2023,2023 PDF
2023,Jul,201435.19,250.12,690.22,0,200744.97,23/24,2023,2023 PDF
2023,Aug,200744.97,249.26,691.08,0,200053.89,23/24,2023,2023 PDF
2023,Sep,200053.89,248.4,691.94,0,199361.95,23/24,2023,2023 PDF
2023,Oct,199361.95,247.54,692.8,0,198669.15,23/24,2023,2023 PDF
2023,Nov,198669.15,246.68,1393.66,0,197275.49,23/24,2023,2023 PDF
2023,Dec,197275.49,244.95,1395.39,0,195880.1,23/24,2023,2023 PDF
2024,Jan,195880.1,243.22,1397.11,0,194482.99,23/24,2024,derived (1.49% + DD £940.33 + overpay £700)
2024,Feb,194482.99,241.48,1398.85,0,193084.14,23/24,2024,derived (1.49% + DD £940.33 + overpay £700)
2024,Mar,193084.14,239.75,1400.58,0,191683.56,23/24,2024,derived (1.49% + DD £940.33 + overpay £700)
2024,Apr,191683.56,238.01,1402.32,0,190281.24,23/24,2024,derived (1.49% + DD £940.33 + overpay £700)
2024,May,190281.24,236.27,1404.06,0,188877.18,24/25,2024,derived (1.49% + DD £940.33 + overpay £700)
2024,Jun,188877.18,234.52,1405.81,0,187471.37,24/25,2024,derived (1.49% + DD £940.33 + overpay £700)
2024,Jul,187471.37,232.78,1407.55,0,186063.82,24/25,2024,derived (1.49% + DD £940.33 + overpay £700)
2024,Aug,186063.82,231.03,1409.3,0,184654.52,24/25,2024,derived (1.49% + DD £940.33 + overpay £700)
2024,Sep,184654.52,229.28,1411.05,0,183243.47,24/25,2024,derived (1.49% + DD £940.33 + overpay £700)
2024,Oct,183243.47,227.53,1412.8,0,181830.67,24/25,2024,derived (1.49% + DD £940.33 + overpay £700)
2024,Nov,181830.67,225.77,1414.56,0,180416.11,24/25,2024,derived (1.49% + DD £940.33 + overpay £700)
2024,Dec,180416.11,224.02,1416.31,0,178999.8,24/25,2024,derived (1.49% + DD £940.33 + overpay £700)
2025,Jan,178999.86,222.26,718.07,0,178281.79,24/25,2025,2025 PDF
2025,Feb,178281.79,221.37,718.95,1749,179311.84,24/25,2025,2025 PDF
2025,Mar,179311.84,638.98,546.9,0,178764.94,24/25,2025,2025 PDF
2025,Apr,178764.94,652.49,0,0,178764.94,24/25,2025,2025 PDF
2025,May,178764.94,652.49,0,0,178764.94,25/26,2025,2025 PDF
2025,Jun,178764.94,652.49,0,0,178764.94,25/26,2025,2025 PDF
2025,Jul,178764.94,652.49,0,0,178764.94,25/26,2025,2025 PDF
2025,Aug,178764.94,652.49,0,0,178764.94,25/26,2025,2025 PDF
2025,Sep,178764.94,652.49,0,0,178764.94,25/26,2025,2025 PDF
2025,Oct,178764.94,652.49,0,0,178764.94,25/26,2025,2025 PDF
2025,Nov,178764.94,652.49,0,0,178764.94,25/26,2025,2025 PDF
2025,Dec,178764.94,652.49,0,0,178764.94,25/26,2025,2025 PDF
2026,Jan,178764.94,652.49,0,0,178764.94,25/26,2026,2026 PDF
2026,Feb,178764.94,652.49,0,0,178764.94,25/26,2026,2026 PDF
2026,Mar,178764.94,652.49,0,0,178764.94,25/26,2026,2026 PDF
2026,Apr,178764.94,652.49,0,0,178764.94,25/26,2026,2026 PDF
2026,May,178764.94,652.49,0,0,178764.94,26/27,2026,2026 PDF
